Througput over random break in link ,,,,,,,,,,
Packet size in Kbytes ,FTP,,,,,CBR,,,,
,0%,5%,10%,15%,20%,0%,5%,10%,15%,20%
0.1,19,19,19,15,12,19,19,19,15,12
0.2,32,32,32,25,20,33,33,33,25,21
0.4,60,60,60,46,37,60,60,60,46,38
0.8,110,110,110,86,70,112,112,112,87,71
1.6,212,212,212,165,133,212,212,212,165,134
3.2,390,390,390,302,250,395,395,395,307,250
6.4,595,595,595,539,440,606,606,606,546,445
12.8,595,595,595,594,592,603,603,603,609,601
25.6,603,603,603,599,595,612,612,612,611,605
51.2,596,596,596,584,573,597,597,597,590,579
64,597,597,597,587,575,595,595,595,586,369
128,609,609,609,583,581,582,582,582,573,540
256,601,601,601,569,553,565,565,565,557,524
512,565,565,565,532,492,541,541,541,516,467
1024,525,525,525,484,393,452,452,452,407,355
2048,367,367,367,351,333,295,295,295,262,192
4096,296,296,296,235,200,133,133,133,108,91
8192,302,302,302,133,0.4,133,133,133,0.4,0.4
16384,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
