Delay over random break in link,,,,,,,,,,
Packet size in Kbytes,FTP,,,,,CBR,,,,
,0%,5%,10%,15%,20%,0%,5%,10%,15%,20%
0.1,0.070786,0.070786,0.070786,0.091010437,0.111235,0.070789,0.070789,0.070789,0.091014541,0.11123998
0.2,0.071347,0.071347,0.071347,0.09173216,0.112117,0.071353,0.071353,0.071353,0.09173922,0.1121257
0.4,0.07247,0.07247,0.07247,0.09317566,0.113881,0.07248,0.07248,0.07248,0.093188723,0.11389724
0.8,0.074716,0.074716,0.074716,0.096062812,0.11741,0.074735,0.074735,0.074735,0.096088128,0.11744085
1.6,0.079207,0.079207,0.079207,0.10183781,0.124468,0.079247,0.079247,0.079247,0.10188877,0.1245304
3.2,0.088193,0.088193,0.088193,0.11339028,0.138587,0.088276,0.088276,0.088276,0.11349708,0.13871841
6.4,0.13572,0.13572,0.13572,0.13650594,0.166839,0.134944,0.134944,0.134944,0.1367433,0.16712966
12.8,0.13572,0.13572,0.13572,0.31903973,0.299647,0.135536,0.135536,0.135536,0.31445571,0.29793576
25.6,0.739178,0.739178,0.739178,0.72023785,0.701816,0.730739,0.730739,0.730739,0.70963233,0.69330027
51.2,1.391746,1.391746,1.391746,1.3733959,1.357041,1.397205,1.397205,1.397205,1.3769829,1.3606684
64,1.700399,1.700399,1.700399,1.6822896,1.665783,1.708992,1.708992,1.708992,1.690793,0.110352
128,2.857928,2.857928,2.857928,2.803682,2.807119,2.888544,2.888544,2.888544,2.8849887,2.8259063
256,4.053841,4.053841,4.053841,3.9605751,3.957192,4.006201,4.006201,4.006201,4.0125114,3.9531314
512,5.401518,5.401518,5.401518,5.3720088,5.551624,5.45516,5.45516,5.45516,5.477264,5.6353423
1024,8.41686,8.41686,8.41686,8.3858968,9.706064,8.555515,8.555515,8.555515,8.7017555,9.992745
2048,17.03185,17.03185,17.03185,17.087969,18.13278,18.30828,18.30828,18.30828,18.336656,18.678955
4096,16.45424,16.45424,16.45424,20.843365,25.2325,14.81586,14.81586,14.81586,18.11272,21.409584
8192,32.83824,32.83824,32.83824,29.581488,0.110352,29.56146,29.56146,29.56146,0.09032,0.110384
16384,0.070224,0.070224,0.070224,0.090288,0.110352,0.070256,0.070256,0.070256,0.09032,0.110384
