Throughput over layesr ,,,,,,,,,,,,
Packet size in Kbytes,FTP,,,,,,CBR,,,,,
,with Virtual Channel,,,with normal  Channel,,,with Virtual Channel,,,with normal  Channel,,
,2 L,4L ,8L ,2L,4L,8L,2L,4L,8L,2L,4L,8L
0.1,4,5,5,4,5,5,4,5,5,4,5,5
0.2,7,9,8,7,9,8,7,9,8,7,9,8
0.4,13,16,14,13,16,14,13,16,14,13,16,14
0.8,24,30,26,24,29,26,25,30,27,24,30,26
1.6,47,56,50,47,55,50,47,56,50,47,56,50
3.2,87,105,94,86,103,92,86,105,94,86,104,92
6.4,154,187,171,154,185,164,155,188,169,153,186,165
12.8,253,310,286,251,304,269,253,313,285,253,305,269
25.6,374,464,431,370,451,398,374,464,432,368,448,393
51.2,347,575,552,339,567,374,347,445,550,339,436,376
64,343,444,423,333,426,373,343,439,419,333,425,373
128,256,383,355,236,355,272,242,365,349,215,225,244
256,164,262,230,161,226,186,161,246,229,158,246,177
512,148,195,185,117,185,125,117,164,177,117,156,125
1024,121,145,143,119,140,125,119,146,140,117,137,123
2048,75,95,93,74,91,78,71,89,85,70,83,74
4096,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
8192,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
16384,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
