Delay over layesr,,,,,,,,,,,,
Packet size in Kbytes,FTP,,,,,,CBR,,,,,
,with Viertual Channel,,,with normal  Channel,,,with Viertual Channel,,,with normal  Channel,,
,2L,4L,8L,2L,4L,8L,2L,4L,8L,2L,4L,8L
0.1,0.31339571,0.26266663,0.2927514,0.31347968,0.26283457,0.29325522,0.31341022,0.26267876,0.29276493,0.31349419,0.26284671,0.29326875
0.2,0.31582084,0.26457112,0.2947164,0.31596478,0.26485911,0.29558004,0.31584574,0.26459193,0.29473961,0.31598968,0.26487983,0.29560326
0.4,0.32067136,0.26838028,0.29864663,0.32093523,0.26890807,0.3002299,0.32071751,0.26841879,0.29868962,0.32098138,0.26894658,0.30027291
0.8,0.3303726,0.27599912,0.30650728,0.33087633,0.27700668,0.30953024,0.33046188,0.27607396,0.30659019,0.33096685,0.27708153,0.30961401
1.6,0.34977753,0.2912382,0.32223079,0.35076098,0.29320529,0.32813264,0.34995711,0.29138832,0.32239757,0.35094058,0.29335543,0.32830122
3.2,0.38859502,0.32172344,0.35368292,0.39053786,0.32560951,0.36534415,0.38897685,0.32203711,0.35403163,0.39091971,0.3259251,0.36570092
6.4,0.46625898,0.38271674,0.41661775,0.47012596,0.39044443,0.43979717,0.46709623,0.38341042,0.41738527,0.47097421,0.3911457,0.44058362
12.8,0.62171969,0.50481197,0.54258395,0.62942552,0.52022744,0.58882894,0.62377299,0.50645893,0.54440543,0.63147085,0.52192292,0.59075959
25.6,0.93316283,0.74943223,0.79497457,0.94855649,0.78023633,0.88738391,0.93868386,0.75388361,0.7997555,0.95420394,0.78486604,0.89268307
51.2,1.564246,1.3117416,1.352283,1.595036,1.345053,1.4918898,1.574708,1.3360498,1.3665639,1.6057464,1.3559249,1.501489
64,1.8795356,1.6564361,1.6651166,1.9180923,1.6847578,1.7939409,1.896062,1.6678468,1.6771498,1.935118,1.6973098,1.8091309
128,3.414361,2.830749,2.8559863,3.5088382,2.8998669,3.2899087,3.490479,2.8519274,2.8984669,3.5485672,5.449396,3.3382579
256,6.3950328,5.1003149,5.2693617,6.5449104,5.3736271,6.1386271,6.4849582,5.1575345,5.337464,6.6177998,5.1575345,6.2164924
512,12.253181,9.7711747,10.091371,12.477063,10.360023,11.705567,12.379442,9.9119904,10.223649,12.668223,10.495718,11.896726
1024,26.730232,18.426546,18.531136,23.165544,19.076836,21.75688,23.32009,18.681206,19.21826,23.85772,19.756466,22.44404
2048,0.310968,26.748237,27.597461,34.717403,28.386685,32.512805,35.743933,28.56052,29.42976,36.563173,30.199,34.3452
4096,0.310968,0.26076,0.290784,0.310992,0.260808,0.290928,0.311,0.260792,0.290816,0.310992,0.26084,0.29096
8192,0.310968,0.26076,0.290784,0.310992,0.260808,0.290928,0.311,0.260792,0.290816,0.310992,0.26084,0.29096
16384,0.310968,0.26076,0.290784,0.310992,0.260808,0.290928,0.311,0.260792,0.290816,0.310992,0.26084,0.29096
