Throughput of various                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 virtual channel over FTP application ,,,,
Packet size in Kbytes,Cental sphere ,Mid sphere ,Pheriphery sphere ,All sphere combine together 
0.1,4,6,6,6
0.2,7,10,11,11
0.4,13,18,20,20
0.8,24,33,37,37
1.6,47,63,70,70
3.2,86,117,128,128
6.4,154,207,228,228
12.8,251,343,376,376
25.6,370,505,554,554
51.2,339,468,492,492
64,333,464,484,484
128,236,385,422,422
256,161,274,319,319
512,117,169,205,205
1024,119,164,210,210
2048,74,98,108,108
4096,0.4,0.4,0.4,0.4
8192,0.4,0.4,0.4,0.4
16384,0.4,0.4,0.4,0.4
