Throughput of various                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 virtual channel over FTP application,,,,
Packet size in Kbytes,Cental sphere ,Mid sphere ,Pheriphery sphere ,All sphere combine together 
0.1,0.31347968,0.23258187,0.21235742,0.21235742
0.2,0.31596478,0.23442593,0.21404111,0.21404111
0.4,0.32093523,0.2381141,0.21740874,0.21740874
0.8,0.33087633,0.24549085,0.22414421,0.22414421
1.6,0.35076098,0.26024545,0.23761658,0.23761658
3.2,0.39053786,0.28976141,0.26456654,0.26456654
6.4,0.47012596,0.34881917,0.31849057,0.31849057
12.8,0.62942552,0.46703145,0.42643045,0.42643045
25.6,0.94855649,0.70387612,0.6426959,0.6426959
51.2,1.595036,1.3336844,1.3232099,1.3232099
64,1.9180923,1.6545977,1.6366548,1.6366548
128,3.5088382,2.759401,2.7051081,2.7051081
256,6.5449104,4.9181781,4.5238948,4.5238948
512,12.477063,9.5245891,8.8011914,8.8011914
1024,23.165544,18.178695,16.887271,16.887271
2048,34.717403,25.899013,23.694416,23.694416
4096,0.310992,0.230736,0.210672,0.210672
8192,0.310992,0.230736,0.210672,0.210672
16384,0.310992,0.230736,0.210672,0.210672
